NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:9.16
Barycenter M:6.54
Barycenter H:9.7
H[km]	Mag	Io	PDF
10.4747	6.3729	9.0707	0.004813
11.0000	6.3729	9.0707	0.001227
6.4211	6.4746	9.0707	0.000042
6.7432	6.4746	9.0707	0.000128
7.0814	6.4746	9.0707	0.000092
7.4365	6.4746	9.0707	0.000266
7.8095	6.4746	9.0707	0.000502
8.2012	6.4746	9.0707	0.001399
8.6125	6.4746	9.0707	0.000893
9.0444	6.4746	9.0707	0.002054
9.4980	6.4746	9.0707	0.001112
9.9744	6.4746	9.0707	0.003483
10.4747	6.4746	9.0707	0.007821
11.0000	6.4746	9.0707	0.002688
6.1145	6.5763	9.0707	0.000009
6.4211	6.5763	9.0707	0.000006
6.7432	6.5763	9.0707	0.000008
7.0814	6.5763	9.0707	0.000057
7.4365	6.5763	9.0707	0.000481
7.8095	6.5763	9.0707	0.000303
8.2012	6.5763	9.0707	0.000602
8.6125	6.5763	9.0707	0.000516
9.0444	6.5763	9.0707	0.002549
9.4980	6.5763	9.0707	0.004118
9.9744	6.5763	9.0707	0.005608
10.4747	6.5763	9.0707	0.013887
11.0000	6.5763	9.0707	0.010542
6.1145	6.6780	9.0707	0.000025
6.4211	6.6780	9.0707	0.000074
6.7432	6.6780	9.0707	0.000113
7.0814	6.6780	9.0707	0.000168
7.4365	6.6780	9.0707	0.000116
7.8095	6.6780	9.0707	0.000090
8.2012	6.6780	9.0707	0.000556
8.6125	6.6780	9.0707	0.000336
9.0444	6.6780	9.0707	0.000455
9.4980	6.6780	9.0707	0.000948
9.9744	6.6780	9.0707	0.001641
10.4747	6.6780	9.0707	0.002894
11.0000	6.6780	9.0707	0.003810
6.7432	6.7797	9.0707	0.000042
7.0814	6.7797	9.0707	0.000107
7.4365	6.7797	9.0707	0.000706
7.8095	6.7797	9.0707	0.000534
8.2012	6.7797	9.0707	0.000589
8.6125	6.7797	9.0707	0.000146
9.0444	6.7797	9.0707	0.000155
9.4980	6.7797	9.0707	0.000184
